#,title,authors,journal,year,doi,link
1,Inferred drought‐induced plant allocation shifts and their impact on drought legacy at a tropical forest site,"Matthew A. Worden, Caroline A. Famiglietti, Paul A. Levine, Shuang Ma, A. Anthony Bloom, Damien Bonal, Clément Stahl, Alexandra G. Konings",Global Change Biology,2024,10.1111/gcb.17287,https://doi.org/10.1111/gcb.17287
2,Underestimated Dry Season Methane Emissions from Wetlands in the Pantanal,"Mengze Li, Eric A. Kort, A. Anthony Bloom, Dien Wu, Genevieve Plant, Cynthia Gerlein-Safdi, Tianjiao Pu",Environmental Science &amp; Technology,2024,10.1021/acs.est.3c09250,https://doi.org/10.1021/acs.est.3c09250
3,"Permafrost Region Greenhouse Gas Budgets Suggest a Weak CO<sub>2</sub> Sink and CH<sub>4</sub> and N<sub>2</sub>O Sources, But Magnitudes Differ Between Top‐Down and Bottom‐Up Methods","G. Hugelius, J. Ramage, E. Burke, A. Chatterjee, T. L. Smallman, T. Aalto, A. Bastos, C. Biasi, J. G. Canadell, N. Chandra, F. Chevallier, P. Ciais, J. Chang, L. Feng, M. W. Jones, T. Kleinen, M. Kuhn, R. Lauerwald, J. Liu, E. López‐Blanco, I. T. Luijkx, M. E. Marushchak, S. M. Natali, Y. Niwa, D. Olefeldt, P. I. Palmer, P. K. Patra, W. Peters, S. Potter, B. Poulter, B. M. Rogers, W. J. Riley, M. Saunois, E. A. G. Schuur, R. L. Thompson, C. Treat, A. Tsuruta, M. R. Turetsky, A.‐M. Virkkala, C. Voigt, J. Watts, Q. Zhu, B. Zheng",Global Biogeochemical Cycles,2024,10.1029/2023gb007969,https://doi.org/10.1029/2023gb007969
4,Optimizing the Isoprene Emission Model MEGAN With Satellite and Ground‐Based Observational Constraints,"Christian A. DiMaria, Dylan B. A. Jones, Helen Worden, A. Anthony Bloom, Kevin Bowman, Trissevgeni Stavrakou, Kazuyuki Miyazaki, John Worden, Alex Guenther, Chinmoy Sarkar, Roger Seco, Jeong‐Hoo Park, Julio Tota, Eliane Gomes Alves, Valerio Ferracci",Journal of Geophysical Research: Atmospheres,2023,10.1029/2022jd037822,https://doi.org/10.1029/2022jd037822
5,Forest productivity recovery or collapse? Model‐data integration insights on drought‐induced tipping points,"J. Au, A. A. Bloom, N. C. Parazoo, R. M. Deans, C. Y. S. Wong, B. Z. Houlton, T. S. Magney",Global Change Biology,2023,10.1111/gcb.16867,https://doi.org/10.1111/gcb.16867
6,Global net biome CO<sub>2</sub>exchange predicted comparably well using parameter–environment relationships and plant functional types,"Caroline A. Famiglietti, Matthew Worden, Gregory R. Quetin, T. Luke Smallman, Uma Dayal, A. Anthony Bloom, Mathew Williams, Alexandra G. Konings",Global Change Biology,2023,10.1111/gcb.16574,https://doi.org/10.1111/gcb.16574
7,RECCAP2 Future Component: Consistency and Potential for Regional Assessment to Constrain Global Projections,"Chris D. Jones, Tilo Ziehn, Jatin Anand, Ana Bastos, Eleanor Burke, Josep G. Canadell, Manoel Cardoso, Yolandi Ernst, Atul K. Jain, Sujong Jeong, Elizabeth D. Keller, Masayuki Kondo, Ronny Lauerwald, Tzu‐Shun Lin, Guillermo Murray‐Tortarolo, Gert‐Jan Nabuurs, Mike O’Sullivan, Ben Poulter, Xiaoyu Qin, Celso von Randow, Marcos Sanches, Dmitry Schepaschenko, Anatoly Shvidenko, T. Luke Smallman, Hanqin Tian, Yohanna Villalobos, Xuhui Wang, Jeongmin Yun",AGU Advances,2023,10.1029/2023av001024,https://doi.org/10.1029/2023av001024
8,Water Stress Dominates 21st‐Century Tropical Land Carbon Uptake,"Paul A. Levine, A. Anthony Bloom, Kevin W. Bowman, John T. Reager, John R. Worden, Junjie Liu, Nicholas C. Parazoo, Victoria Meyer, Alexandra G. Konings, Marcos Longo",Global Biogeochemical Cycles,2023,10.1029/2023gb007702,https://doi.org/10.1029/2023gb007702
9,Resolving the Carbon‐Climate Feedback Potential of Wetland CO<sub>2</sub> and CH<sub>4</sub> Fluxes in Alaska,"Shuang Ma, A. Anthony Bloom, Jennifer D. Watts, Gregory R. Quetin, Zona Donatella, Eugénie S. Euskirchen, Alexander J. Norton, Yi Yin, Paul A. Levine, Renato K. Braghiere, Nicholas C. Parazoo, John R. Worden, David S. Schimel, Charles E. Miller",Global Biogeochemical Cycles,2023,10.1029/2022gb007524,https://doi.org/10.1029/2022gb007524
10,Attributing Past Carbon Fluxes to CO<sub>2</sub> and Climate Change: Respiration Response to CO<sub>2</sub> Fertilization Shifts Regional Distribution of the Carbon Sink,"Gregory R. Quetin, Caroline A. Famiglietti, Nathan C. Dadap, A. Anthony Bloom, Kevin W. Bowman, Noah S. Diffenbaugh, Junjie Liu, Anna T. Trugman, Alexandra G. Konings",Global Biogeochemical Cycles,2023,10.1029/2022gb007478,https://doi.org/10.1029/2022gb007478
11,Biogeographic pattern of living vegetation carbon turnover time in mature forests across continents,"Kailiang Yu, Philippe Ciais, Anthony A. Bloom, Jinsong Wang, Zhihua Liu, Han Y. H. Chen, Yilong Wang, Yizhao Chen, Ashley P. Ballantyne",Global Ecology and Biogeography,2023,10.1111/geb.13736,https://doi.org/10.1111/geb.13736
12,Remotely Sensed Carbonyl Sulfide Constrains Model Estimates of Amazon Primary Productivity,"James R. Stinecipher, Philip Cameron‐Smith, Le Kuai, Norbert Glatthor, Michael Höpfner, Ian Baker, Christian Beer, Kevin Bowman, Meemong Lee, Scot M. Miller, Nicholas Parazoo, J. Elliott Campbell",Geophysical Research Letters,2022,10.1029/2021gl096802,https://doi.org/10.1029/2021gl096802
13,Quantifying Northern High Latitude Gross Primary Productivity (GPP) Using Carbonyl Sulfide (OCS),"Le Kuai, Nicholas C. Parazoo, Mingjie Shi, Charles E. Miller, Ian Baker, Anthony A. Bloom, Kevin Bowman, Meemong Lee, Zhao‐Cheng Zeng, Roisin Commane, Stephen A. Montzka, Joe Berry, Colm Sweeney, John B. Miller, Yuk L. Yung",Global Biogeochemical Cycles,2022,10.1029/2021gb007216,https://doi.org/10.1029/2021gb007216
