suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.485,Carbon dynamics in the Brazilian Cerrado: stocks and fluxes estimated by a model data fusion framework (CARDAMOM),,2020,10.5194/egusphere-egu2020-20772,0,E. Sousa-Neto; L. Smallman; J. Ometto; Mat Williams
recommend,0.455,Carbon uptake in Eurasian boreal forests dominates the high‐latitude net ecosystem carbon budget,Global Change Biology,2023,10.1111/gcb.16553,62,J. Watts; M. Farina; J. Kimball; L. Schiferl; Zhihua Liu; K. Arndt; D. Zona; A. Ballantyne; E. Euskirchen; F. Parmentier; M. Helbig; O. Sonnentag; T. Tagesson; J. Rinne; H. Ikawa; M. Ueyama; Hideki Kobayashi; T. Sachs; D. Nadeau; J. Kochendorfer; M. Jackowicz-Korczynski; Anna‐Maria Virkkala; M. Aurela; R. Commane; B. Byrne; L. Birch; Matthew S. Johnson; N. Madani; B. Rogers; Jinyang Du; A. Endsley; K. Savage; B. Poulter; Zhen Zhang; L. Bruhwiler; C. Miller; S. Goetz; W. Oechel
recommend,0.424,Congo Basin Carbon Cycle Responses to Global Change,Global Change Biology,2026,10.1111/gcb.70688,1,Sarah Worden; Rong Fu; A. A. Bloom; M. Bauters; H. Verbeeck; T. Fatoyinbo; W. Hubau; L. Koutika; S. K. Kengdo; Sybryn L. Maes; Vincent Medjibe; Nicholas J. Russo; Sassan Saatchi; L. B. Sagang; Thomas B. Smith; D. Sonwa; Pascal Boeckx; E. Ordway
recommend,0.394,Terrestrial gross primary production inferred from satellite fluorescence and vegetation models,Global Change Biology,2014,10.1111/gcb.12652,191,N. Parazoo; K. Bowman; J. Fisher; C. Frankenberg; Dylan B. A. Jones; A. Cescatti; Ó. Pérez-Priego; G. Wohlfahrt; Leonardo Montagnani
recommend,0.394,Reference carbon cycle dataset for typical Chinese forests via colocated observations and data assimilation,Scientific Data,2021,10.1038/s41597-021-00826-w,27,Honglin He; R. Ge; X. Ren; Li Zhang; Qingqing Chang; Qian Xu; Guoyi Zhou; Zongqiang Xie; Silong Wang; Huimin Wang; Qibin Zhang; An-zhi Wang; Z. Fan; Yiping Zhang; W. Shen; H. Yin; Luxiang Lin; Mat Williams; Guirui Yu
recommend,0.394,Improved process representation of leaf phenology significantly shifts climate sensitivity of ecosystem carbon balance,Biogeosciences,2023,10.5194/bg-20-2455-2023,18,A. Norton; A. Bloom; N. Parazoo; P. Levine; Shuang Ma; R. Braghiere; T. Smallman
recommend,0.394,Diagnosing Spring Onset Across the North American Arctic‐Boreal Region Using Complementary Satellite Environmental Data Records,Journal of Geophysical Research: Biogeosciences,2024,10.1029/2023jg007977,4,Youngwook Kim; John S. Kimball; N. Parazoo; Xiaolan Xu; A. Colliander; R. Reichle; Jingfeng Xiao; Xing Li
recommend,0.364,"Inverse modelling of carbonyl sulfide: implementation, evaluation and implications for the global budget",Atmospheric Chemistry and Physics,2020,10.5194/acp-2020-603,55,Jin Ma; Linda M. J. Kooijmans; A. Cho; S. Montzka; N. Glatthor; J. Worden; L. Kuai; E. Atlas; M. Krol
recommend,0.364,A model inter-comparison study to examine limiting factors in modelling Australian tropical savannas,,2016,10.5194/bg-13-3245-2016,43,Rhys Whitley; J. Beringer; L. Hutley; G. Abramowitz; M. D. Kauwe; R. Duursma; Bradley J. Evans; V. Haverd; Longhui Li; Y. Ryu; Benjamin Smith; Ying‐ping Wang; Mat Williams; Qiang Yu
recommend,0.364,Vegetation Functional Properties Determine Uncertainty of Simulated Ecosystem Productivity: A Traceability Analysis in the East Asian Monsoon Region,Global Biogeochemical Cycles,2019,10.1029/2018gb005909,40,Erqian Cui; Kun Huang; M. A. Arain; J. Fisher; D. Huntzinger; A. Ito; Yiqi Luo; A. Jain; J. Mao; A. Michalak; S. Niu; N. Parazoo; C. Peng; S. Peng; B. Poulter; D. Ricciuto; K. Schaefer; C. Schwalm; Xiaoying Shi; H. Tian; Weile Wang; Jinsong Wang; Yaxing Wei; Enrong Yan; Liming Yan; N. Zeng; Qiu'an Zhu; J. Xia
