title,authors,journal,year,doi,link
Estimating global and North American methane emissions with high spatial resolution using GOSAT satellite data,A. Turner; D. Jacob; K. Wecht; J. Maasakkers; Elizabeth W. Lundgren; A. Andrews; S. Biraud; H. Boesch; K. Bowman; N. Deutscher; M. Dubey; D. Griffith; et al.,,2015,10.5194/ACP-15-7049-2015,https://doi.org/10.5194/ACP-15-7049-2015
Quantifying the Impact of Atmospheric Transport Uncertainty on CO2 Surface Flux Estimates,Andrew E. Schuh; A. R. Jacobson; S. Basu; Brad Weir; David Baker; K. Bowman; F. Chevallier; Sean Crowell; K. Davis; Feng Deng; S. Denning; Liang Feng; et al.,Global Biogeochemical Cycles,2019,10.1029/2018GB006086,https://doi.org/10.1029/2018GB006086
The impact of transport model differences on CO 2 surface flux estimates from OCO-2 retrievals of column average CO 2,S. Basu; D. Baker; F. Chevallier; P. Patra; Junjie Liu; John B. Miller,,2017,10.5194/ACP-18-7189-2018,https://doi.org/10.5194/ACP-18-7189-2018
"Southern California megacity CO2, CH4, and CO flux estimates using ground- and space-based remote sensing and a Lagrangian model",J. Hedelius; Junjie Liu; T. Oda; Shamil Maksyutov; C. Roehl; L. Iraci; J. Podolske; P. Hillyard; Jianming Liang; K. Gurney; D. Wunch; P. Wennberg,Atmospheric Chemistry and Physics,2018,10.5194/ACP-18-16271-2018,https://doi.org/10.5194/ACP-18-16271-2018
Estimation of surface carbon fluxes with an advanced data assimilation methodology,Ji-Sun Kang; E. Kalnay; T. Miyoshi; Junjie Liu; I. Fung,,2011,10.1029/2012JD018259,https://doi.org/10.1029/2012JD018259
Carbon uptake in Eurasian boreal forests dominates the high‐latitude net ecosystem carbon budget,J. Watts; M. Farina; J. Kimball; L. Schiferl; Zhihua Liu; K. Arndt; D. Zona; A. Ballantyne; E. Euskirchen; F. Parmentier; M. Helbig; O. Sonnentag; et al.,Global Change Biology,2023,10.1111/gcb.16553,https://doi.org/10.1111/gcb.16553
Assessing the magnitude of CO2 flux uncertainty in atmospheric CO2 records using products from NASA's Carbon Monitoring Flux Pilot Project,L. Ott; S. Pawson; G. Collatz; W. Gregg; D. Menemenlis; H. Brix; C. Rousseaux; K. Bowman; Junjie Liu; A. Eldering; M. Gunson; S. Kawa,,2015,10.1002/2014JD022411,https://doi.org/10.1002/2014JD022411
Prior biosphere model impact on global terrestrial CO2 fluxes estimated from OCO-2 retrievals,Sajeev Philip; Matthew S. Johnson; C. Potter; Vanessa Genovesse; D. Baker; K. Haynes; D. Henze; Junjie Liu; B. Poulter,Atmospheric Chemistry and Physics,2019,10.5194/ACP-19-13267-2019,https://doi.org/10.5194/ACP-19-13267-2019
Improved Constraints on Northern Extratropical CO2 Fluxes Obtained by Combining Surface‐Based and Space‐Based Atmospheric CO2 Measurements,B. Byrne; Junjie Liu; Meemong Lee; I. Baker; K. Bowman; N. Deutscher; D. Feist; D. Griffith; L. Iraci; Matthaus Kiel; J. Kimball; C. Miller; et al.,Journal of Geophysical Research - Atmospheres,2019,10.1029/2019JD032029,https://doi.org/10.1029/2019JD032029
A Bayesian framework for deriving sector-based methane emissions from top-down fluxes,D. Cusworth; A. A. Bloom; Shuang Ma; C. Miller; K. Bowman; Yi Yin; J. Maasakkers; Yuzhong Zhang; T. Scarpelli; Z. Qu; D. Jacob; J. Worden,Communications Earth & Environment,2021,10.1038/s43247-021-00312-6,https://doi.org/10.1038/s43247-021-00312-6
High-resolution inversion of methane emissions in the Southeast US using SEAC 4 RS aircraft observations of atmospheric methane: anthropogenic and wetland sources,J. Sheng; D. J. Jacob; Alexander J. Turner; J. Maasakkers; M. Sulprizio; A. Bloom; A. Andrews; D. Wunch,,2017,10.5194/ACP-18-6483-2018,https://doi.org/10.5194/ACP-18-6483-2018
Towards constraints on fossil fuel emissions from total column carbon dioxide,G. Keppel‐Aleks; P. Wennberg; C. O’Dell; D. Wunch,,2012,10.5194/ACP-13-4349-2013,https://doi.org/10.5194/ACP-13-4349-2013
Carbon Flux Variability From a Relatively Simple Ecosystem Model With Assimilated Data Is Consistent With Terrestrial Biosphere Model Estimates,G. R. Quetin; A. A. Bloom; K. Bowman; A. Konings,Journal of Advances in Modeling Earth Systems,2020,10.1029/2019MS001889,https://doi.org/10.1029/2019MS001889
Detecting drought impact on terrestrial biosphere carbon fluxes over contiguous US with satellite observations,Junjie Liu; K. Bowman; N. Parazoo; A. Bloom; D. Wunch; Zhe Jiang; K. Gurney; D. Schimel,Environmental Research Letters,2018,10.1088/1748-9326/aad5ef,https://doi.org/10.1088/1748-9326/aad5ef
Source‐receptor relationships of column‐average CO2 and implications for the impact of observations on flux inversions,Junjie Liu; K. Bowman; D. Henze,,2015,10.1002/2014JD022914,https://doi.org/10.1002/2014JD022914
Ground-Based Mobile Measurements to Track Urban Methane Emissions from Natural Gas in 12 Cities across Eight Countries,F. Vogel; S. Ars; D. Wunch; J. Lavoie; L. Gillespie; H. Maazallahi; T. Röckmann; J. Nęcki; J. Bartyzel; P. Jagoda; D. Lowry; J. France; et al.,Environmental Science and Technology,2024,10.1021/acs.est.3c03160,https://doi.org/10.1021/acs.est.3c03160
Seasonal variability of stratospheric methane: implications for constraining tropospheric methane budgets using total column observations,K. Saad; D. Wunch; N. Deutscher; David W. T. Griffith; Frank Hase; M. Mazière; J. Notholt; D. Pollard; C. Roehl; Matthias Schneider; R. Sussmann; T. Warneke; et al.,,2016,10.5194/ACP-16-14003-2016,https://doi.org/10.5194/ACP-16-14003-2016
Comparison between the Local Ensemble Transform Kalman Filter (LETKF) and 4D‐Var in atmospheric CO2 flux inversion with the Goddard Earth Observing System‐Chem model and the observation impact diagnostics from the LETKF,Junjie Liu; K. Bowman; Meemong Lee,,2016,10.1002/2016JD025100,https://doi.org/10.1002/2016JD025100
Emergent constraints on tropical atmospheric aridity—carbon feedbacks and the future of carbon sequestration,A. Barkhordarian; K. Bowman; N. Cressie; J. Jewell; Junjie Liu,Environmental Research Letters,2021,10.1088/1748-9326/ac2ce8,https://doi.org/10.1088/1748-9326/ac2ce8
Linking global terrestrial CO2 fluxes and environmental drivers: inferences from the Orbiting Carbon Observatory 2 satellite and terrestrial biospheric models,Zichong Chen; Junjie Liu; D. Henze; D. Huntzinger; K. C. Wells; S. Sitch; P. Friedlingstein; E. Joetzjer; V. Bastrikov; D. Goll; V. Haverd; A. Jain; et al.,,2021,10.5194/ACP-21-6663-2021,https://doi.org/10.5194/ACP-21-6663-2021
Characterizing model errors in chemical transport modeling of methane: using GOSAT XCH4 data with weak-constraint four-dimensional variational data assimilation,I. Stanevich; Dylan B. A. Jones; K. Strong; M. Keller; D. Henze; R. Parker; H. Boesch; D. Wunch; J. Notholt; C. Petri; T. Warneke; R. Sussmann; et al.,Atmospheric Chemistry and Physics,2021,10.5194/ACP-21-9545-2021,https://doi.org/10.5194/ACP-21-9545-2021
China's Terrestrial Carbon Sink Over 2010–2015 Constrained by Satellite Observations of Atmospheric CO2 and Land Surface Variables,W. He; Fei Jiang; Mousong Wu; W. Ju; M. Scholze; Zhi Chen; B. Byrne; Junjie Liu; Hengmao Wang; Jun Wang; Songhan Wang; Yanlian Zhou; et al.,Journal of Geophysical Research - Biogeosciences,2022,10.1029/2021JG006644,https://doi.org/10.1029/2021JG006644
Optimizing the Isoprene Emission Model MEGAN With Satellite and Ground‐Based Observational Constraints,C. DiMaria; Dylan B. A. Jones; H. Worden; A. A. Bloom; K. Bowman; T. Stavrakou; K. Miyazaki; J. Worden; A. Guenther; C. Sarkar; R. Seco; Jeong-Hoo Park; et al.,Journal of Geophysical Research - Atmospheres,2023,10.1029/2022JD037822,https://doi.org/10.1029/2022JD037822
The Facility Level and Area Methane Emissions inventory for the Greater Toronto Area (FLAME-GTA),Nasrin Mostafavi Pak; Sajjan Heerah; Junhua Zhang; E. Chan; D. Worthy; F. Vogel; D. Wunch,,2021,10.1016/J.ATMOSENV.2021.118319,https://doi.org/10.1016/J.ATMOSENV.2021.118319
Attributing Past Carbon Fluxes to CO2 and Climate Change: Respiration Response to CO2 Fertilization Shifts Regional Distribution of the Carbon Sink,G. R. Quetin; C. Famiglietti; N. Dadap; A. Bloom; K. Bowman; N. Diffenbaugh; Junjie Liu; A. Trugman; A. Konings,Global Biogeochemical Cycles,2023,10.1029/2022GB007478,https://doi.org/10.1029/2022GB007478
Technical note: 3-hourly temporal downscaling of monthly global terrestrialbiosphere model net ecosystem exchange,J. B. Fisher; M. Sikka; D. Huntzinger; C. Schwalm; Junjie Liu,,2016,10.5194/BG-13-4271-2016,https://doi.org/10.5194/BG-13-4271-2016
Atmospheric Simulations of Total Column CO2 Mole Fractions from Global to Mesoscale within the Carbon Monitoring System Flux Inversion Framework,M. Butler; T. Lauvaux; S. Feng; Junjie Liu; K. Bowman; K. Davis,,2020,10.3390/atmos11080787,https://doi.org/10.3390/atmos11080787
A method for independent validation of surface fluxes from atmospheric inversion: Application to CO2,Junjie Liu; K. Bowman,,2016,10.1002/2016GL067828,https://doi.org/10.1002/2016GL067828
Remotely Sensed Carbonyl Sulfide Constrains Model Estimates of Amazon Primary Productivity,J. Stinecipher; P. Cameron-smith; L. Kuai; N. Glatthor; M. Höpfner; I. Baker; C. Beer; K. Bowman; Meemong Lee; Scot M. Miller; N. Parazoo; Jesse W. Campbell,Geophysical Research Letters,2022,10.1029/2021GL096802,https://doi.org/10.1029/2021GL096802
Evaluating Global Atmospheric Inversions of Terrestrial Net Ecosystem Exchange CO2 Over North America on Seasonal and Sub‐Continental Scales,Yuyan Cui; Li Zhang; A. Jacobson; Matthew S. Johnson; Sajeev Philip; D. Baker; F. Chevallier; A. Schuh; Junjie Liu; S. Crowell; Hélène E. Peiro; F. Deng; et al.,Geophysical Research Letters,2022,10.1029/2022GL100147,https://doi.org/10.1029/2022GL100147
Estimating methane emissions from the waste sector in Southern Ontario using atmospheric measurements,L. Gillespie; S. Ars; Samantha Alkadri; Siyar Urya; T. Khoo; Susan Fraser; Felix Vogel; D. Wunch,Journal of the Air and Waste Management Association,2024,10.1080/10962247.2024.2435340,https://doi.org/10.1080/10962247.2024.2435340
CHEEREIO 1.0: a versatile and user-friendly ensemble-based chemical data assimilation and emissions inversion platform for the GEOS-Chem chemical transport model,D. Pendergrass; D. Jacob; H. Nesser; D. Varon; M. Sulprizio; K. Miyazaki; K. Bowman,Geoscientific Model Development,2023,10.5194/gmd-16-4793-2023,https://doi.org/10.5194/gmd-16-4793-2023
Quantification of regional net CO2 flux errors in the Orbiting Carbon Observatory-2 (OCO-2) v10 model intercomparison project (MIP) ensemble using airborne measurements,J. Yun; Junjie Liu; B. Byrne; Brad Weir; Lesley E. Ott; K. McKain; Bianca C. Baier; L. V. Gatti; S. Biraud,Atmospheric Chemistry and Physics,2025,10.5194/acp-25-1725-2025,https://doi.org/10.5194/acp-25-1725-2025
Satellite‐Constrained Reanalysis Reveals CO2 Versus Climate Process Compensation Across the Global Land Carbon Sink,T. Eren Bilir; A. Bloom; A. Konings; Junjie Liu; N. Parazoo; G. R. Quetin; Alexander J. Norton; M. Worden; Paul A. Levine; Shuang Ma; R. K. Braghiere; Marcos Longo; et al.,AGU Advances,2025,10.1029/2025AV001689,https://doi.org/10.1029/2025AV001689
Enhanced Carbon Flux Response to Atmospheric Aridity and Water Storage Deficit During the 2015–2016 El Niño Compromised Carbon Balance Recovery in Tropical South America,Junjie Liu; Kevin B. Bowman; Paul I. Palmer; Joanna Joiner; Paul A. Levine; A. A. Bloom; Lianggang Feng; S. Saatchi; Michael Keller; Marcos Longo; D. Schimel; P. Wennberg,AGU Advances,2024,10.1029/2024AV001187,https://doi.org/10.1029/2024AV001187
