#,title,authors,journal,year,doi,link,citations_s2
1,Carbon emissions from the 2023 Canadian wildfires,"Byrne, B., Liu, J., Bowman, K. W., Pascolini-Campbell, M., Chatterjee, A., Pandey, S., et al.",Nature,2024,10.1038/s41586-024-07878-z,http://dx.doi.org/10.1038/s41586-024-07878-z,194
2,Regional Inversion Shows Promise in Capturing Extreme-Event-Driven CO2 Flux Anomalies but Is Limited by Atmospheric CO2 Observational Coverage,"Byrne, B., Liu, J., Bowman, K. W., Yin, Y., Yun, J., Ferreira, G. D., et al.",Journal of Geophysical Research: Atmospheres,2024,10.1029/2023jd040006,http://dx.doi.org/10.1029/2023jd040006,5
3,The reduced net carbon uptake over Northern Hemisphere land causes the close-to-normal CO2 growth rate in 2021 La Niña,"Liu, J., Baker, D., Basu, S., Bowman, K., Byrne, B., Chevallier, F., et al.",Science Advances,2024,10.1126/sciadv.adl2201,http://dx.doi.org/10.1126/sciadv.adl2201,13
4,National CO2 budgets (2015–2020) inferred from atmospheric CO2 observations in support of the global stocktake,"Byrne, B., et al.",Earth System Science Data,2023,10.5194/essd-15-963-2023,http://dx.doi.org/10.5194/essd-15-963-2023,132
5,Water Stress Dominates 21st-Century Tropical Land Carbon Uptake,"Levine, P. A., Bloom, A. A., Bowman, K. W., Reager, J. T., Worden, J. R., Liu, J., et al.",Global Biogeochemical Cycles,2023,10.1029/2023gb007702,http://dx.doi.org/10.1029/2023gb007702,11
6,Attribution of Space-Time Variability in Global-Ocean Dissolved Inorganic Carbon,"Carroll, D., Menemenlis, D., Dutkiewicz, S., Lauderdale, J. M., Adkins, J. F., Bowman, K. W., et al.",Global Biogeochemical Cycles,2022,10.1029/2021GB007162,http://dx.doi.org/10.1029/2021GB007162,51
7,"The NASA Carbon Monitoring System Phase 2 synthesis: scope, findings, gaps and recommended next steps","Hurtt, G. C., Andrews, A., Bowman, K., Brown, M. E., Chatterjee, A., Escobar, V., et al.",Environmental Research Letters,2022,10.1088/1748-9326/ac7407,http://dx.doi.org/10.1088/1748-9326/ac7407,19
8,Carbon Monitoring System Flux Net Biosphere Exchange 2020 (CMS-Flux NBE 2020),"Liu, J., Baskaran, L., Bowman, K., Schimel, D., Bloom, A. A., Parazoo, N. C., et al.",Earth System Science Data,2021,10.5194/essd-13-299-2021,http://dx.doi.org/10.5194/essd-13-299-2021,
9,Lagged effects regulate the inter-annual variability of the tropical carbon balance,"Bloom, A. A., Bowman, K. W., Liu, J., Konings, A. G., Worden, J. R., Parazoo, N. C., et al.",Biogeosciences,2020,10.5194/bg-17-6393-2020,http://dx.doi.org/10.5194/bg-17-6393-2020,55
10,Contrasting Regional Carbon Cycle Responses to Seasonal Climate Anomalies Across the East‐West Divide of Temperate North America,"Byrne, B., Liu, J., Bloom, A. A., Bowman, K. W., Butterfield, Z., Joiner, J., et al.",Global Biogeochemical Cycles,2020,10.1029/2020GB006598,http://dx.doi.org/10.1029/2020GB006598,19
11,The ECCO‐Darwin data‐assimilative global ocean biogeochemistry model: Estimates of seasonal to multidecadal surface ocean pCO2 and air‐sea CO2 flux,"Carroll, D., Menemenlis, D., Adkins, J. F., Bowman, K. W., Brix, H., Dutkiewicz, S., et al.",Journal of Advances in Modeling Earth Systems,2020,10.1029/2019MS001888,http://dx.doi.org/10.1029/2019MS001888,86
12,The 2015–2016 carbon cycle as seen from OCO-2 and the global in situ network,"Crowell, S., Baker, D., Schuh, A., Basu, S., Jacobson, A. R., Chevallier, F., et al.",Atmospheric Chemistry and Physics,2019,10.5194/acp-19-9797-2019,http://dx.doi.org/10.5194/acp-19-9797-2019,209
13,Contrasting carbon cycle responses of the tropical continents to the 2015-2016 El Nino,"Liu, J., Bowman, K. W., Schimel, D. S., Parazoo, N. C., Jiang, Z., Lee, M., et al.",Science,2017,10.1126/science.aam5690,http://dx.doi.org/10.1126/science.aam5690,301
14,A global wetland methane emissions and uncertainty dataset for atmospheric chemical transport models (WetCHARTs version 1.0),"Bloom, A. A., Bowman, K., Lee, M., Turner, A. J., Schroeder, R., Worden, J. R., et al.",Geoscientific Model Development,2017,10.5194/gmd-10-2141-2017,http://dx.doi.org/10.5194/gmd-10-2141-2017,244
15,Carbon monitoring system flux estimation and attribution: impact of ACOS-GOSAT XCO2 sampling on the inference of terrestrial biospheric sources and sinks,"Liu, J., Bowman, K. W., Lee, M., Henze, D. K., Bousserez, N., Brix, H., et al.",Tellus B,2014,10.3402/tellusb.v66.22486,http://dx.doi.org/10.3402/tellusb.v66.22486,135
