suggested_action,reason,title,venue,year,doi,citations_s2,source
recommend,strong CMS-Flux flux/inversion signal,Estimating global and North American methane emissions with high spatial resolution using GOSAT satellite data,,2015,10.5194/ACP-15-7049-2015,285,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Quantifying the Impact of Atmospheric Transport Uncertainty on CO2 Surface Flux Estimates,Global Biogeochemical Cycles,2019,10.1029/2018GB006086,142,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,The impact of transport model differences on CO 2 surface flux estimates from OCO-2 retrievals of column average CO 2,,2017,10.5194/ACP-18-7189-2018,118,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Carbon Monitoring System Flux Net Biosphere Exchange 2020 (CMS-Flux NBE 2020),Earth System Science Data,2020,10.5194/essd-2020-123-supplement,108,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,"Southern California megacity CO2, CH4, and CO flux estimates using ground- and space-based remote sensing and a Lagrangian model",Atmospheric Chemistry and Physics,2018,10.5194/ACP-18-16271-2018,78,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Estimation of surface carbon fluxes with an advanced data assimilation methodology,,2011,10.1029/2012JD018259,73,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Carbon uptake in Eurasian boreal forests dominates the high‐latitude net ecosystem carbon budget,Global Change Biology,2023,10.1111/gcb.16553,62,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Assessing the magnitude of CO2 flux uncertainty in atmospheric CO2 records using products from NASA's Carbon Monitoring Flux Pilot Project,,2015,10.1002/2014JD022411,52,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Prior biosphere model impact on global terrestrial CO2 fluxes estimated from OCO-2 retrievals,Atmospheric Chemistry and Physics,2019,10.5194/ACP-19-13267-2019,51,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,Improved Constraints on Northern Extratropical CO2 Fluxes Obtained by Combining Surface‐Based and Space‐Based Atmospheric CO2 Measurements,Journal of Geophysical Research - Atmospheres,2019,10.1029/2019JD032029,48,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,A Bayesian framework for deriving sector-based methane emissions from top-down fluxes,Communications Earth & Environment,2021,10.1038/s43247-021-00312-6,42,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
recommend,strong CMS-Flux flux/inversion signal,High-resolution inversion of methane emissions in the Southeast US using SEAC 4 RS aircraft observations of atmospheric methane: anthropogenic and wetland sources,,2017,10.5194/ACP-18-6483-2018,41,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
