status,jpl_coauthored,jpl_authors,core_cms_flux_author,title,doi
KEPT,yes,Brendan Byrne; Junjie Liu; K. W. Bowman; Madeleine Pascolini‐Campbell; Abhishek Chatterjee; Sudhanshu Pandey; Kazuyuki Miyazaki,bowman; junjie liu; byrne; chatterjee,Carbon emissions from the 2023 Canadian wildfires,10.1038/s41586-024-07878-z
KEPT,yes,Brendan Byrne; Junjie Liu; K. W. Bowman; Jeongmin Yun; Latha Baskaran,bowman; junjie liu; byrne,Regional Inversion Shows Promise in Capturing Extreme-Event-Driven CO2 Flux Anomalies but Is Limited by Atmospheric CO2 Observational Coverage,10.1029/2023jd040006
KEPT,yes,Junjie Liu; K. W. Bowman; Brendan Byrne; T. L. Kubar; Jeongmin Yun,bowman; junjie liu; byrne; basu,The reduced net carbon uptake over Northern Hemisphere land causes the close-to-normal CO2 growth rate in 2021 La Niña,10.1126/sciadv.adl2201
KEPT,yes,Brendan Byrne; K. W. Bowman; Dustin Carroll; Abhishek Chatterjee; Noel Cressie; David Crisp; Junjie Liu; John R. Worden,bowman; junjie liu; byrne; chatterjee; basu,National CO2 budgets (2015–2020) inferred from atmospheric CO2 observations in support of the global stocktake,10.5194/essd-15-963-2023
KEPT,yes,Paul A. Levine; A. Anthony Bloom; K. W. Bowman; J. T. Reager; John R. Worden; Junjie Liu; Nicholas C. Parazoo; Victoria Meyer; Marcos Longo,bowman; junjie liu; parazoo,Water Stress Dominates 21st-Century Tropical Land Carbon Uptake,10.1029/2023gb007702
KEPT,yes,Dustin Carroll; Dimitris Menemenlis; K. W. Bowman; Ian Fenty; Michelle M. Gierach; Charles E. Miller; David Schimel; Hong Zhang,bowman; schimel; menemenlis,Attribution of Space-Time Variability in Global-Ocean Dissolved Inorganic Carbon,10.1029/2021GB007162
KEPT,yes,K. W. Bowman; Abhishek Chatterjee; Sassan Saatchi,bowman; chatterjee,"The NASA Carbon Monitoring System Phase 2 synthesis: scope, findings, gaps and recommended next steps",10.1088/1748-9326/ac7407
KEPT,yes,Junjie Liu; Latha Baskaran; K. W. Bowman; David Schimel; A. Anthony Bloom; Nicholas C. Parazoo; Dimitris Menemenlis,bowman; junjie liu; parazoo; schimel; menemenlis,Carbon Monitoring System Flux Net Biosphere Exchange 2020 (CMS-Flux NBE 2020),10.5194/essd-13-299-2021
KEPT,yes,A. Anthony Bloom; K. W. Bowman; Junjie Liu; John R. Worden; Nicholas C. Parazoo; Victoria Meyer; J. T. Reager; Yi Yin; Sassan Saatchi; David Schimel,bowman; junjie liu; parazoo; schimel,Lagged effects regulate the inter-annual variability of the tropical carbon balance,10.5194/bg-17-6393-2020
KEPT,yes,Brendan Byrne; Junjie Liu; A. Anthony Bloom; K. W. Bowman; Nicholas C. Parazoo,bowman; junjie liu; byrne; parazoo,Contrasting Regional Carbon Cycle Responses to Seasonal Climate Anomalies Across the East‐West Divide of Temperate North America,10.1029/2020GB006598
