#,title,authors,journal,year,doi,link
1,Performance of an eddy diffusivity-mass flux scheme for shallow cumulus boundary layers,"['WM Angevine', 'H Jiang', 'T Mauritsen']",Monthly Weather Review,2010,10.1175/2010MWR3142.1,
2,Shallow Cumulus in WRF Parameterizations Evaluated against LASSO Large-Eddy Simulations,"['WM Angevine', 'J Olson', 'J Kenyon', 'WI Gustafson', 'S Endo', 'K Suselj', 'DD Turner']",Monthly Weather Review,2018,10.1175/MWR-D-18-0115.1,
3,Parameterization interactions in global aquaplanet simulations,"['R Bhattacharya', 'S Bordoni', 'K Suselj', 'J Teixeira']",Journal of Advances in Modeling Earth Systems,2018,10.1002/2017MS001226,
4,A simple formulation for the eddy-diffusivity parameterization of cloud-topped boundary layers,"['S Cheinet', 'J Teixeira']",Geophysical Research Letters,2003,10.1029/2003GL017377,
5,Improving the representation of shallow cumulus convection with the simplified-higher-order-closure-mass-flux (SHOC+MF v1.0) approach,"['MJ Chinita', 'M Witte', 'MJ Kurowski', 'J Teixeira', 'K Suselj', 'G Matheou', 'P Bogenschutz']",Geoscientific Model Development,2023,10.5194/gmd-16-1909-2023,
6,Implementation in the NCEP GFS of a Hybrid Eddy-Diffusivity Mass-Flux (EDMF) Boundary Layer Parameterization with Dissipative Heating and Modified Stable Boundary Layer Mixing,"['J Han', 'ML Witek', 'J Teixeira', 'R Sun', 'H Pan', 'JK Fletcher', 'CS Bretherton']",Weather and Forecasting,2016,10.1175/WAF-D-15-0053.1,
7,TKE-Based Moist Eddy-Diffusivity Mass-Flux (EDMF) Parameterization for Vertical Turbulent Mixing,"['J Han', 'CS Bretherton']",Weather and Forecasting,2019,10.1175/WAF-D-18-0146.1,
8,Towards Unifying the Planetary Boundary Layer and Shallow Convection in CAM5 with the Eddy-Diffusivity/Mass-Flux Approach,"['MJ Kurowski', 'HT Thrastarson', 'K Suselj', 'J Teixeira']",Atmosphere,2019,10.3390/atmos10090484,
9,"Shallow-to-Deep Transition of Continental Moist Convection: Cold Pools, Surface Fluxes, and Mesoscale Organization","['MJ Kurowski', 'K Suselj', 'WW Grabowski', 'J Teixeira']",Journal of the Atmospheric Sciences,2018,10.1175/JAS-D-18-0031.1,
10,Is shallow convection sensitive to environmental heterogeneities?,"['MJ Kurowski', 'K Suselj', 'WW Grabowski']",Geophysical Research Letters,2019,10.1029/2018GL080847,
11,A dual mass flux framework for boundary layer convection. Part I: Transport,"['RAJ Neggers', 'M Köhler', 'ACM Beljaars']",Journal of the Atmospheric Sciences,2009,10.1175/2008JAS2635.1,
12,A dual mass flux framework for boundary layer convection. Part II: Clouds,['RAJ Neggers'],Journal of the Atmospheric Sciences,2009,10.1175/2008JAS2636.1,
13,A description of the MYNN-EDMF scheme and the coupling to other components in WRF-ARW,"['JB Olson', 'JS Kenyon', 'WM Angevine', 'JM Brown', 'M Pagowski', 'K Sušelj']",NOAA Technical Memorandum OAR GSD,2019,,
14,Entrainment and detrainment in cumulus convection: an overview,"['WC de Rooy', 'P Bechtold', 'K Fröhlich', 'C Hohenegger', 'H Jonker', 'D Mironov', 'AP Siebesma', 'J Teixeira', 'JI Yano']",Quarterly Journal of the Royal Meteorological Society,2013,10.1002/qj.1959,
15,A combined eddy diffusivity mass flux approach for the convective boundary layer,"['AP Siebesma', 'PMM Soares', 'J Teixeira']",Journal of the Atmospheric Sciences,2007,10.1175/JAS3888.1,
16,A Novel Framework for Evaluating and Improving Parameterized Subtropical Marine Boundary Layer Cloudiness,"['M Smalley', 'K Sušelj', 'M Lebsock', 'J Teixeira']",Monthly Weather Review,2019,10.1175/MWR-D-18-0394.1,
17,Coupling warm rain with an eddy diffusivity/mass flux parameterization: 2. Sensitivities and comparison to observations,"['MA Smalley', 'K Suselj', 'MD Lebsock', 'MK Witte']",Journal of Advances in Modeling Earth Systems,2022,10.1029/2021MS002729,
18,An eddy diffusivity/mass flux parametrization for dry and shallow cumulus convection,"['PMM Soares', 'PMA Miranda', 'AP Siebesma', 'J Teixeira']",Quarterly Journal of the Royal Meteorological Society,2004,10.1256/qj.03.223,
19,Eddy Diffusivity/Mass Flux and Shallow Cumulus Boundary Layer: An Updraft PDF Multiple Mass Flux Scheme,"['K Sušelj', 'J Teixeira', 'G Matheou']",Journal of the Atmospheric Sciences,2012,10.1175/JAS-D-11-090.1,
20,A unified model for moist convective boundary layers based on a stochastic eddy-diffusivity/mass-flux parameterization,"['K Sušelj', 'J Teixeira', 'D Chung']",Journal of the Atmospheric Sciences,2013,10.1175/JAS-D-12-0106.1,
21,Implementation of a Stochastic Eddy-Diffusivity/Mass-Flux Parameterization into the Navy Global Environmental Model,"['K Sušelj', 'TF Hogan', 'J Teixeira']",Weather and Forecasting,2014,10.1175/WAF-D-14-00043.1,
22,A Unified Eddy-Diffusivity/Mass-Flux Approach for Modeling Atmospheric Convection,"['K Suselj', 'MJ Kurowski', 'J Teixeira']",Journal of the Atmospheric Sciences,2019,10.1175/JAS-D-18-0239.1,
23,On the factors controlling development of shallow convection in eddy-diffusivity/mass-flux models,"['K Suselj', 'M Kurowski', 'J Teixeira']",Journal of the Atmospheric Sciences,2019,10.1175/JAS-D-18-0121.1,
24,A New Methodology for Observation-Based Parameterization Development,"['K Suselj', 'D Posselt', 'M Smalley', 'MD Lebsock', 'J Teixeira']",Monthly Weather Review,2020,10.1175/MWR-D-19-0369.1,
25,Improving the Representation of Subtropical Boundary Layer Clouds in the NASA GEOS Model with the Eddy-Diffusivity/Mass-Flux Parameterization,"['K Suselj', 'J Teixeira', 'MJ Kurowski', 'A Molod']",Monthly Weather Review,2021,10.1175/MWR-D-20-0105.1,
