suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.485,Augmenting the double-Gaussian representation of atmospheric turbulence and convection via a coupled stochastic multi-plume mass flux scheme,Monthly Weather Review,2022,10.1175/mwr-d-21-0215.1,8,M. Witte; A. Herrington; J. Teixeira; M. Kurowski; M. Chinita; R. Storer; K. Suselj; G. Matheou; J. Bacmeister
recommend,0.424,Coupling Warm Rain With an Eddy Diffusivity/Mass Flux Parameterization: 1. Model Description and Validation,Journal of Advances in Modeling Earth Systems,2022,10.1029/2021ms002736,3,K. Suselj; M. Smalley; M. Lebsock; M. Kurowski; M. Witte; João Paulo Ramos Teixeira
recommend,0.394,On the Parameterization of Convective Downdrafts for Marine Stratocumulus Clouds,Monthly Weather Review,2020,10.1175/mwr-d-19-0292.1,20,E. Wu; Handa Yang; J. Kleissl; K. Suselj; M. Kurowski; João Paulo Teixeira
recommend,0.303,Quantifying the impact of vertical resolution on the representation of marine boundary layer physics for global-scale models,Monthly Weather Review,2023,10.1175/mwr-d-23-0078.1,4,M. Smalley; M. Lebsock; J. Teixeira
recommend,0.273,The Strong Impact of Weak Horizontal Convergence on Continental Shallow Convection,,2020,10.1175/jas-d-19-0351.1,8,M. Kurowski; W. Grabowski; K. Suselj; João Paulo Ramos Teixeira
recommend,0.242,Spaceborne differential absorption radar water vapor retrieval capabilities in tropical and subtropical boundary layer cloud regimes,Atmospheric Measurement Techniques,2021,10.5194/amt-2021-111,16,R. Roy; M. Lebsock; M. Kurowski
recommend,0.242,The diurnal susceptibility of subtropical clouds to aerosols,Atmospheric Chemistry and Physics,2025,10.5194/acp-25-15329-2025,6,M. Kurowski; M. Lebsock; K. Smalley
recommend,0.242,"Analyses of Shallow Convection over the Amazon Coastal Region Using Satellite Images, Data Observations and Modeling",Revista Brasileira de Meteorologia,2018,10.1590/0102-7786332009,1,L. Pires; K. Suselj; L. Rossato; J. Teixeira; João Paulo Ramos Teixeira
recommend,0.242,A Stochastic Eddy-Diffusivity/Mass-Flux Boundary Layer and Shallow Convection Parameterization in 1-D NCEP GFS: Implementation and Initial Results,,2016,,0,M. Witek; João Paulo Teixeira; K. Suselj; Jongil Han; C. Jones
recommend,0.242,Unified boundary layer and convection parameterization: simulation of the transition from stratocumulus to shallow cumulus boundary layers,,2011,,0,K. Suselj; J. Teixeira
recommend,0.212,Distinct Dynamical and Structural Properties of Marine Stratocumulus and Shallow Cumulus Clouds in the Eastern North Atlantic,Journal of Geophysical Research - Atmospheres,2022,10.1029/2022jd037021,9,Jong‐Hoon Jeong; M. Witte; I. Glenn; M. Smalley; M. Lebsock; K. Lamer; Zeen Zhu
recommend,0.212,"An A-train and MERRA view of cloud, thermodynamic, and dynamic variability within the subtropical marine boundary layer",,2017,10.5194/acp-17-9451-2017,7,B. Kahn; G. Matheou; Q. Yue; T. Fauchez; E. Fetzer; M. Lebsock; J. Martins; M. Schreier; Kentaroh Suzuki; J. Teixeira
recommend,0.212,Computational Domain Size Effects on Large-Eddy Simulations of Precipitating Shallow Cumulus Convection,Atmosphere,2023,10.3390/atmos14071186,5,Oumaima Lamaakel; R. Venters; João Paulo Ramos Teixeira; G. Matheou
