#,title,authors,journal,year,doi,link
1,Synthetic Observations of the Planetary Boundary Layer from Space: A Retrieval Observing System Simulation Experiment Framework,"['MJ Kurowski', 'J Teixeira', 'C Ao', 'S Brown', 'AB Davis', 'L Forster']",Bulletin of the American Meteorological Society,2023,10.1175/BAMS-D-22-0129.1,
2,Understanding Errors in Cloud Liquid Water Path Retrievals Derived from CloudSat Path-Integrated Attenuation,"['M Lebsock', 'H Takahashi', 'R Roy', 'MJ Kurowski', 'L Oreopoulos']",Journal of Applied Meteorology and Climatology,2022,,
3,New sampling strategy mitigates a solar-geometry-induced bias in sub-kilometre vapour scaling statistics derived from imaging spectroscopy,"['MT Richardson', 'DR Thompson', 'MJ Kurowski', 'MD Lebsock']",Atmospheric Measurement Techniques,2022,10.5194/amt-15-117-2022,
4,Computational Domain Size Effects on Large-Eddy Simulations of Precipitating Shallow Cumulus Convection,"['O Lamaakel', 'R Venters', 'J Teixeira', 'G Matheou']",Atmosphere,2023,,
5,Large-eddy simulation of cumulus clouds,['G Matheou'],Physical Review Fluids,2022,10.1103/PhysRevFluids.7.110507,
6,Organization Development in Precipitating Shallow Cumulus Convection: Evolution of Turbulence Characteristics,"['O Lamaakel', 'G Matheou']",Journal of the Atmospheric Sciences,2022,10.1175/JAS-D-21-0334.1,
7,Large-eddy simulation of very stable boundary layers. Part II: Length scales and anisotropy in stratified atmospheric turbulence,"['MJ Chinita', 'G Matheou', 'PMA Miranda']",Quarterly Journal of the Royal Meteorological Society,2022,10.1002/qj.4272,
8,Large-eddy simulation of very stable boundary layers. Part I: Modeling methodology,"['MJ Chinita', 'G Matheou', 'PMA Miranda']",Quarterly Journal of the Royal Meteorological Society,2022,10.1002/qj.4271,
9,MethaNet-An AI-driven approach to quantifying methane point-source emission from high-resolution 2-D plume imagery,"['S Jongaramrungruang', 'AK Thorpe', 'G Matheou', 'C Frankenberg']",Remote Sensing of Environment,2022,10.1016/j.rse.2021.112809,
10,Spaceborne differential absorption radar water vapor retrieval capabilities in tropical and subtropical boundary layer cloud regimes,"['RJ Roy', 'M Lebsock', 'MJ Kurowski']",Atmospheric Measurement Techniques,2021,10.5194/amt-14-6443-2021,
11,Boundary layer water vapour statistics from high-spatial-resolution spaceborne imaging spectroscopy,"['MT Richardson', 'DR Thompson', 'MJ Kurowski', 'MD Lebsock']",Atmospheric Measurement Techniques,2021,10.5194/amt-14-5555-2021,
12,Remote sensing of methane plumes: instrument tradeoff analysis for detecting and quantifying local sources at global scale,"['S Jongaramrungruang', 'G Matheou', 'AK Thorpe', 'ZC Zeng', 'C Frankenberg']",Atmospheric Measurement Techniques,2021,10.5194/amt-14-7999-2021,
13,Galilean invariance of shallow cumulus convection large-eddy simulations,"['O Lamaakel', 'G Matheou']",Journal of Computational Physics,2021,10.1016/j.jcp.2020.110012,
14,Intercomparison of large-eddy simulations of the Antarctic boundary layer for very stable stratification,"['F Couvreux', 'E Bazile', 'Q Rodier', 'B Maronga', 'G Matheou', 'MJ Chinita']",Boundary-Layer Meteorology,2020,10.1007/s10546-020-00539-4,
15,The spiderweb structure of stratocumulus clouds,"['G Matheou', 'AB Davis', 'J Teixeira']",Atmosphere,2020,10.3390/atmos11070730,
16,Towards accurate methane point-source quantification from high-resolution 2-D plume imagery,"['S Jongaramrungruang', 'C Frankenberg', 'G Matheou', 'AK Thorpe']",Atmospheric Measurement Techniques,2019,10.5194/amt-12-6667-2019,
17,"Turbulent shear-layer mixing: initial conditions, and direct-numerical and large-eddy simulations","['N Sharan', 'G Matheou', 'PE Dimotakis']",Journal of Fluid Mechanics,2019,10.1017/jfm.2019.565,
18,Sensitivity to physical and numerical aspects of large-eddy simulation of stratocumulus,"['G Matheou', 'J Teixeira']",Monthly Weather Review,2019,10.1175/MWR-D-18-0294.1,
19,Turbulence structure in a stratocumulus cloud,['G Matheou'],Atmosphere,2018,10.3390/atmos9100392,
20,"Mixing, scalar boundedness, and numerical dissipation in large-eddy simulations","['N Sharan', 'G Matheou', 'PE Dimotakis']",Journal of Computational Physics,2018,10.1016/j.jcp.2018.05.020,
21,A joint probability density-based decomposition of turbulence in the atmospheric boundary layer,"['MJ Chinita', 'G Matheou', 'J Teixeira']",Monthly Weather Review,2018,10.1175/MWR-D-17-0166.1,
