suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.343,New sampling strategy removes imaging spectroscopy solar-smearing bias in sub-km vapour scaling statistics,,2021,10.5194/amt-2021-163,0,M. T. Richardson; D. Thompson; M. Kurowski; M. Lebsock
recommend,0.314,HDO and H 2 O total column retrievals from TROPOMI shortwave infrared measurements,,2016,10.5194/amt-9-3921-2016,21,R. Scheepmaker; J. aan de Brugh; Haili Hu; T. Borsdorff; C. Frankenberg; C. Risi; O. Hasekamp; I. Aben; J. Landgraf
recommend,0.314,A New Methodology for Observation-Based Parameterization Development,,2020,10.1175/mwr-d-20-0114.1,10,K. Suselj; D. Posselt; M. Smalley; M. Lebsock; João Paulo Ramos Teixeira
recommend,0.286,The Strong Impact of Weak Horizontal Convergence on Continental Shallow Convection,,2020,10.1175/jas-d-19-0351.1,8,M. Kurowski; W. Grabowski; K. Suselj; João Paulo Ramos Teixeira
recommend,0.286,Effects of Discretization of Smagorinsky–Lilly Subgrid Scale Model on Large-Eddy Simulation of Stable Boundary Layers,Atmosphere,2025,10.3390/atmos16030310,3,Jonas Banhos; G. Matheou
recommend,0.257,Potential of next-generation imaging spectrometers to detect and quantify methane point sources from space,Atmospheric Measurement Techniques,2019,10.5194/amt-12-5655-2019,124,D. Cusworth; D. Jacob; D. Varon; Christopher E. Chan Miller; Xiong Liu; K. Chance; A. Thorpe; R. Duren; C. Miller; D. Thompson; C. Frankenberg; L. Guanter; C. Randles
recommend,0.257,Distinct Dynamical and Structural Properties of Marine Stratocumulus and Shallow Cumulus Clouds in the Eastern North Atlantic,Journal of Geophysical Research - Atmospheres,2022,10.1029/2022jd037021,9,Jong‐Hoon Jeong; M. Witte; I. Glenn; M. Smalley; M. Lebsock; K. Lamer; Zeen Zhu
recommend,0.257,A Novel Framework for Evaluating and Improving Parameterized Subtropical Marine Boundary Layer Cloudiness,Monthly Weather Review,2019,10.1175/mwr-d-18-0394.1,9,M. Smalley; K. Suselj; M. Lebsock; J. Teixeira
recommend,0.257,Augmenting the double-Gaussian representation of atmospheric turbulence and convection via a coupled stochastic multi-plume mass flux scheme,Monthly Weather Review,2022,10.1175/mwr-d-21-0215.1,8,M. Witte; A. Herrington; J. Teixeira; M. Kurowski; M. Chinita; R. Storer; K. Suselj; G. Matheou; J. Bacmeister
recommend,0.257,The diurnal susceptibility of subtropical clouds to aerosols,Atmospheric Chemistry and Physics,2025,10.5194/acp-25-15329-2025,6,M. Kurowski; M. Lebsock; K. Smalley
