#,title,authors,journal,year,doi,link
1,Optimizing the isoprene emission model MEGAN with satellite and ground-based observational constraints,"DiMaria, Christian A.; Dylan B. A. Jones; Helen M Worden; A. Anthony Bloom; Kevin W. Bowman; Trissevgeni Stavrakou; K. Miyazaki; John R. Worden; Alex B. Guenther; Chinmoy Sarkar et al.",Journal of Geophysical Research: Atmospheres,2023,10.1029/2022JD037822,https://doi.org/10.1029/2022JD037822
2,"The capability of deep learning model to predict ozone across continents in China, the United States and Europe","Han, W., He, T.-L., Jiang, Z., Zhu, R., Jones, D., Miyazaki, K., & Shen, Y.",Geophysical Research Letters,2023,10.1029/2023GL104928,https://doi.org/10.1029/2023GL104928
3,Joint spectral retrievals of ozone with Suomi NPP CrIS augmented by S5P/TROPOMI,"Malina, E., Bowman, K. W., Kantchev, V., Kuai, L., Kurosu, T. P., Miyazaki, K., Natraj, V., Osterman, G. B., and Thill, M. D.",EGUsphere [preprint],2023,10.5194/egusphere-2022-774,https://doi.org/10.5194/egusphere-2022-774
4,Predictability of fossil fuel CO2 from air quality emissions,"Miyazaki, K., Bowman, K.",Nature Communications,2023,10.1038/s41467-023-37264-8,https://doi.org/10.1038/s41467-023-37264-8
5,Impact of different sources of precursors on an ozone pollution outbreak over Europe analysed with IASI+GOME2 multispectral satellite observations and model simulations,"Okamoto, S., Cuesta, J., Beekmann, M., Dufour, G., Eremenko, M., Miyazaki, K., Boonne, C., Tanimoto, H., and Akimoto, H.",Atmos. Chem. Phys.,2023,10.5194/acp-23-7399-2023,https://doi.org/10.5194/acp-23-7399-2023
6,The worldwide COVID-19 lockdown impacts on global secondary inorganic aerosols and radiative budget,"Sekiya, Takashi, Kazuyuki Miyazaki, Henk Eskes, Kevin Bowman, Kengo Sudo, Yugo Kanaya, Masayuki Takigawa",Science Advances,2023,10.1126/sciadv.adh2688,https://doi.org/10.1126/sciadv.adh2688
7,Measurement report: Spatiotemporal variability of peroxy acyl nitrates (PANs) over Mexico City from TES and CrIS satellite measurements,"Shogrin, M. J., Payne, V. H., Kulawik, S. S., Miyazaki, K., and Fischer, E. V.",Atmos. Chem. Phys.,2023,10.5194/acp-23-2667-2023,https://doi.org/10.5194/acp-23-2667-2023
8,4D-Var inversion of European NH3 emissions using CrIS NH3 measurements and GEOS-Chem adjoint with bi-directional and uni-directional flux schemes,"Cao, Hansen, Daven K. Henze, Liye Zhu, Mark W. Shephard, Karen Cady-Pereira, Enrico Dammers, Michael Sitwell, Nicholas Heath, Chantelle Lonsdale, Jesse O. Bash, Kazuyuki Miyazaki, Christophe Flechard, Yannick Fauvel, Roy Wichink Kruit, Stefan Feigenspan, Christian Brümmer, Frederik Schrader, Marsailidh M. Twigg, Sarah Leeson, Yuk S. Tang, Amy C. M. Stephens, Christine Braban, Keith Vincent, Mario Meier, Eva Seitler, Camilla Geels, Thomas Ellermann, Agnieszka Sanocka, Shannon L. Capps",Journal of Geophysical Research: Atmospheres,2022,10.1029/2021JD035687,https://doi.org/10.1029/2021JD035687
9,Large discrepancy between observed and modeled wintertime tropospheric NO2 variabilities due to COVID-19 controls in China,"Chen, J., Z. Jiang, R. Li, C. Liao, K. Miyazaki, D. B. A. Jones",Environ. Res. Lett.,2022,10.1088/1748-9326/ac4ec0,https://doi.org/10.1088/1748-9326/ac4ec0
10,Deep learning to evaluate US NOx emissions using surface ozone predictions,"He, T.-L., Jones, D. B. A., Miyazaki, K., Huang, B., Liu, Y., Jiang, Z., et al.",Journal of Geophysical Research: Atmospheres,2022,10.1029/2021JD035597,https://doi.org/10.1029/2021JD035597
11,Inverse modelling of Chinese NOx emissions using deep learning: integrating in situ observations with a satellite-based chemical reanalysis,"He, T.-L., Jones, D. B. A., Miyazaki, K., Bowman, K. W., Jiang, Z., Chen, X., Li, R., Zhang, Y., and Li, K.",Atmos. Chem. Phys.,2022,10.5194/acp-22-14059-2022,https://doi.org/10.5194/acp-22-14059-2022
12,Changes in U.S. background ozone associated with the 2011 turnaround in Chinese NOx emissions,"Miyazaki, K., J. L. Neu, G. Osterman, K. Bowman",Environmental Research Communications,2022,10.1088/2515-7620/ac619b,https://doi.org/10.1088/2515-7620/ac619b
13,"Decadal variabilities in tropospheric nitrogen oxides over United States, Europe, and China","Jiang, Z., R. Zhu, K. Miyazaki, B. C. McDonald, Z. Klimont, B. Zheng, K. F. Boersma, Q. Zhang, H. Worden, J. R. Worden, D. K. Henze, D. B. A. Jones, H. A.C. Denier van der Gon, H. Eskes",Journal of Geophysical Research: Atmospheres,2022,10.1029/2021JD035872,https://doi.org/10.1029/2021JD035872
