suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.252,"An updated tropospheric chemistry reanalysis and emission estimates, TCR-2, for 2005–2018",,2020,10.5194/essd-2020-30,44,K. Miyazaki; K. Bowman; T. Sekiya; H. Eskes; F. Boersma; H. Worden; N. Livesey; V. Payne; K. Sudo; Y. Kanaya; M. Takigawa; K. Ogochi
recommend,0.226,A 15-year record of CO emissions constrained by MOPITT CO observations,,2016,10.5194/acp-17-4565-2017,136,Zhe Jiang; J. Worden; H. Worden; M. Deeter; Dylan B. A. Jones; A. Arellano; D. Henze
recommend,0.226,Constraining Black Carbon Aerosol over Asia using OMI Aerosol Absorption Optical Depth and the Adjoint of GEOS-Chem,,2014,10.5194/acp-15-10281-2015,50,L. Zhang; D. Henze; G. Grell; G. Carmichael; N. Bousserez; Qiang Zhang; O. Torres; C. Ahn; Zifeng Lu; J. Cao; Y. Mao
recommend,0.226,"Quantifying biases in TROPESS AIRS, CrIS, and joint AIRS+OMI tropospheric ozone products using ozonesondes",Atmospheric Chemistry and Physics,2025,10.5194/acp-25-8533-2025,8,E. Pennington; G. Osterman; Vivienne H. Payne; Kazuyuki Miyazaki; K. Bowman; J. Neu
recommend,0.217,"Air pollution trends measured from Terra: CO and AOD over industrial, fire-prone, and background regions",Remote Sensing of Environment,2021,10.1016/j.rse.2020.112275,111,R. Buchholz; H. Worden; Mijeong Park; G. Francis; M. Deeter; D. Edwards; L. Emmons; B. Gaubert; J. Gille; S. Martínez-Alonso; Wenfu Tang; Rajesh Kumar; J. Drummond; C. Clerbaux; M. George; P. Coheur; D. Hurtmans; K. Bowman; M. Luo; V. Payne; J. Worden; M. Chin; R. Levy; J. Warner; Zigang Wei; S. Kulawik
recommend,0.217,Impact of intercontinental pollution transport on North American ozone air pollution: an HTAP phase 2 multi-model study,Atmospheric Chemistry and Physics,2016,10.5194/acp-17-5721-2017,57,Min Huang; Min Huang; G. Carmichael; R. Pierce; D. Jo; R. Park; J. Flemming; L. Emmons; K. Bowman; D. Henze; Yanko Davila; K. Sudo; J. Jonson; M. Lund; G. Janssens‑Maenhout; F. Dentener; T. Keating; H. Oetjen; H. Oetjen; V. Payne
recommend,0.217,"Constraints on Asian ozone using Aura TES, OMI and Terra MOPITT",,2014,10.5194/acp-15-99-2015,31,Zhe Jiang; J. Worden; Dylan B. A. Jones; Jintai Lin; W. Verstraeten; D. Henze
recommend,0.217,The zonal structure of tropical O 3 and CO as observed by the Tropospheric Emission Spectrometer in November 2004 – Part 2: Impact of surface emissions on O 3 and its precursors,,2009,10.5194/acp-9-3563-2009,27,K. Bowman; Dylan B. A. Jones; J. Logan; H. Worden; F. Boersma; R. Chang; S. Kulawik; G. Osterman; P. Hamer; J. Worden
recommend,0.217,Assessing Measurements of Pollution in the Troposphere (MOPITT) carbon monoxide retrievals over urban versus non-urban regions,,2020,10.5194/amt-13-1337-2020,19,Wenfu Tang; H. Worden; M. Deeter; D. Edwards; L. Emmons; S. Martínez-Alonso; B. Gaubert; R. Buchholz; G. Diskin; R. Dickerson; X. Ren; Hao He; Y. Kondo
recommend,0.217,Deep learning for Chinese NOx emission inversion and the integration of in situ observations: a case study on the COVID-19 pandemic,,2021,10.5194/ems2021-391,0,Tai-Long He; Dylan B. A. Jones; K. Miyazaki; K. Bowman; Zhe Jiang; Rui Li
recommend,0.209,Preindustrial to present-day changes in tropospheric hydroxyl radical and methane lifetime from the Atmospheric Chemistry and Climate Model Intercomparison Project (ACCMIP),,2012,10.5194/acp-13-5277-2013,354,V. Naik; A. Voulgarakis; A. Fiore; L. Horowitz; J. Lamarque; Meiyun Lin; M. Prather; P. Young; D. Bergmann; P. Cameron-smith; I. Cionni; W. Collins; S. Dalsøren; R. Doherty; V. Eyring; G. Faluvegi; G. Folberth; B. Josse; Y. Lee; I. MacKenzie; T. Nagashima; T. Noije; D. Plummer; M. Righi; S. Rumbold; R. Skeie; D. Shindell; D. Stevenson; S. Strode; K. Sudo; S. Szopa; G. Zeng
recommend,0.209,Comparison of improved Aura Tropospheric Emission Spectrometer CO 2 with HIPPO and SGP aircraft profile measurements,,2012,10.5194/acp-13-3205-2013,25,S. Kulawik; J. Worden; S. Wofsy; S. Biraud; R. Nassar; Dylan B. A. Jones; E. Olsen; R. Jiménez; Sunyoung Park; G. Santoni; B. Daube; J. Pittman; B. Stephens; E. Kort; G. Osterman; T. Team
recommend,0.209,Evaluation of ACCMIP ozone simulations using a multi-constituent chemical reanalysis,,2016,10.5194/acp-2016-1043,0,K. Miyazaki; K. Bowman
recommend,0.2,Decadal record of satellite carbon monoxide observations,,2012,10.5194/acp-13-837-2013,233,H. Worden; M. Deeter; C. Frankenberg; M. George; F. Nichitiu; J. Worden; I. Aben; K. Bowman; C. Clerbaux; P. Coheur; J. D. Laat; J. D. Laat; R. Detweiler; J. Drummond; D. Edwards; J. Gille; D. Hurtmans; M. Luo; S. Martínez-Alonso; S. Massie; G. Pfister; J. Warner
recommend,0.2,Characterizing summertime chemical boundary conditions for airmasses entering the US West Coast,,2010,10.5194/acp-11-1769-2011,87,G. Pfister; D. Parrish; H. Worden; L. Emmons; D. Edwards; C. Wiedinmyer; G. Diskin; G. Huey; S. Oltmans; V. Thouret; A. Weinheimer; A. Wisthaler
recommend,0.2,Ammonia measurements from space with the Cross-track Infrared Sounder (CrIS): characteristics and applications,Atmospheric Chemistry and Physics,2019,10.5194/acp-2019-705,75,M. Shephard; C. McLinden; E. Dammers; S. Kharol; K. Cady-Pereira; Junhua Zhang; S. Bittman; E. Chow; E. White
recommend,0.2,"Global decadal measurements of methanol, ethene, ethyne, and HCN from the Cross-track Infrared Sounder",Atmospheric Measurement Techniques,2025,10.5194/amt-18-695-2025,15,K. C. Wells; D. B. Millet; J. F. Brewer; Vivienne H. Payne; K. Cady-Pereira; Rick Pernak; S. Kulawik; C. Vigouroux; Nicholas Jones; Emmanuel Mahieu; Maria V. Makarova; T. Nagahama; I. Ortega; M. Palm; Kimberly Strong; M. Schneider; D. Smale; R. Sussmann; Minqiang Zhou
recommend,0.2,Satellite soil moisture data assimilation impacts on modeling weather variables and ozone in the southeastern US – Part 1: An overview,Atmospheric Chemistry and Physics,2021,10.5194/acp-21-11013-2021,9,Min Huang; James H. Crawford; J. Digangi; Gregory R. Carmichael; K. Bowman; Sujay V. Kumar; Xiwu Zhan
recommend,0.2,Recurrent U-net: Deep learning to predict daily summertime ozone in the United States,arXiv.org,2019,,3,Tai-Long He; Dylan B. A. Jones; Binxuan Huang; Yuyang Liu; K. Miyazaki; Zhe Jiang; E. White; H. Worden; J. Worden
