suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.349,A Catchment‐Based Hydrologic and Routing Modeling System with explicit river channels,,2008,10.1029/2007jd009691,25,Gopi Goteti; J. Famiglietti; K. Asante
recommend,0.326,"Estimating the relative impact of measurement, parameter, and flow law errors on discharge from the Surface Water and Ocean Topography mission",Journal of Hydrometeorology,2022,10.1175/jhm-d-22-0078.1,10,R. Frasson; M. Turmon; M. Durand; C. David
recommend,0.302,Will the Surface Water and Ocean Topography (SWOT) Satellite Mission Observe Floods?,Geophysical Research Letters,2019,10.1029/2019gl084686,56,R. Frasson; G. Schumann; A. Kettner; G. Brakenridge; W. Krajewski
recommend,0.279,The Surface Water and Ocean Topography (SWOT) Mission River Database (SWORD): A Global River Network for Satellite Data Products,Water Resources Research,2021,10.1029/2021wr030054,187,E. Altenau; T. Pavelsky; M. Durand; Xiao Yang; R. Frasson; Liam Bendezu
recommend,0.279,Estimating River Discharge With Swath Altimetry: A Proof of Concept Using AirSWOT Observations,Geophysical Research Letters,2019,10.1029/2018gl080771,62,S. Tuozzolo; G. Lind; B. Overstreet; J. Mangano; M. Fonstad; M. Hagemann; R. Frasson; K. Larnier; P. Garambois; J. Monnier; M. Durand
recommend,0.279,Characterizing water surface elevation under different flow conditions for the upcoming SWOT mission,Journal of Hydrology,2018,10.1016/j.jhydrol.2018.04.046,38,A. Domeneghetti; G. Schumann; R. Frasson; R. Wei; T. Pavelsky; A. Castellarin; A. Brath; M. Durand
recommend,0.279,Satellite Requirements to Capture Water Propagation in Earth's Rivers,Reviews of Geophysics,2025,10.1029/2024rg000871,11,A. Cerbelaud; C. David; T. Pavelsky; S. Biancamaria; P. Garambois; C. Kittel; F. Papa; P. Bates; M. Tourian; M. Durand; R. Frasson; H. Oubanas; M. Simard; G. Schumann; G. Allen; A. Tarpanelli; S. Wongchuig; J. Wade; M. Tom; Philippe Malaterre; C. Gleason; J. Crétaux; K. Nielsen; O. Elmi; C. Schwatke; D. Scherer; L. Gal; A. Paris; A. Dasgupta; S. Munier; D. Feng; P. Bauer‐Gottwein; F. Hossain; D. Yamazaki; B. Kitambo; S. Mischel; M. Bonnema; K. Verma; K. Andreadis; N. Picot; J. Benveniste
recommend,0.279,A Large-Scale Evaluation of SWOT-Derived Water Surface Elevations: Precision Drivers and Strategies to Enhance Data Availability,Remote Sensing,2026,10.3390/rs18101609,1,Thiago Lappicy; Daniel Beltrão; L. Sales; T. Almeida; G. G. Pessoa; S. Souza; R. Frasson; R. Cicerelli
recommend,0.256,Modeling large‐scale inundation of Amazonian seasonally flooded wetlands,,2007,10.1029/2007gl030156,257,Matthew D. Wilson; P. Bates; D. Alsdorf; B. Forsberg; M. Horritt; J. Melack; F. Frappart; J. Famiglietti
recommend,0.256,How well will the Surface Water and Ocean Topography (SWOT) mission observe global reservoirs?,,2014,10.1002/2015wr017952,64,K. Solander; J. Reager; J. Famiglietti
recommend,0.256,Observing Rivers With Varying Spatial Scales,Water Resources Research,2019,10.1029/2019wr026476,25,E. Rodríguez; M. Durand; R. Frasson
recommend,0.256,Enhancing SWOT discharge assimilation through spatiotemporal correlations,,2019,10.1016/j.rse.2019.111450,23,Yuan Yang; P. Lin; C. Fisher; M. Turmon; J. Hobbs; C. Emery; J. Reager; C. David; Hui Lu; Kun Yang; Yang Hong; E. Wood; M. Pan
recommend,0.256,Anticipated Improvements to River Surface Elevation Profiles From the Surface Water and Ocean Topography Mission,Frontiers in Earth Science,2019,10.3389/feart.2019.00102,19,T. Langhorst; T. Pavelsky; R. Frasson; R. Wei; A. Domeneghetti; E. Altenau; M. Durand; J. Minear; K. Wegmann; M. Fuller
recommend,0.256,A Kalman Filter Approach for Estimating Daily Discharge Using Space‐Based Discharge Estimates,Water Resources Research,2025,10.1029/2024wr037667,4,Siqi Ke; M. Tourian; N. Sneeuw; R. Frasson; R. Paiva; M. Durand; C. Gleason; O. Elmi; P. Malaterre; C. David
recommend,0.233,GRACE‐based Mass Conservation as a Validation Target for Basin‐Scale Evapotranspiration in the Contiguous United States,Water Resources Research,2020,10.1029/2019wr026594,45,M. Pascolini‐Campbell; J. Reager; J. Fisher
