suggested_action,relevance,title,venue,year,doi,citations_s2,authors
recommend,0.308,Global lightning NO x production estimated by an assimilation of multiple satellite data sets,,2013,10.5194/acp-14-3277-2014,92,K. Miyazaki; H. Eskes; K. Sudo; C. Zhang
recommend,0.308,"An updated tropospheric chemistry reanalysis and emission estimates, TCR-2, for 2005–2018",,2020,10.5194/essd-2020-30,44,K. Miyazaki; K. Bowman; T. Sekiya; H. Eskes; F. Boersma; H. Worden; N. Livesey; V. Payne; K. Sudo; Y. Kanaya; M. Takigawa; K. Ogochi
recommend,0.308,Comparison of improved Aura Tropospheric Emission Spectrometer CO 2 with HIPPO and SGP aircraft profile measurements,,2012,10.5194/acp-13-3205-2013,25,S. Kulawik; J. Worden; S. Wofsy; S. Biraud; R. Nassar; Dylan B. A. Jones; E. Olsen; R. Jiménez; Sunyoung Park; G. Santoni; B. Daube; J. Pittman; B. Stephens; E. Kort; G. Osterman; T. Team
recommend,0.308,Estimating wildfire emissions of ammonia using Cross-track Infrared Sounder (CrIS) profile information,,2021,10.5194/egusphere-egu21-12102,0,Ellen Eckert; Z. Davis; M. Shephard; C. McLinden; D. Griffin; S. Tegtmeier; Yue Jia; K. Cady-Pereira
recommend,0.288,Impact of intercontinental pollution transport on North American ozone air pollution: an HTAP phase 2 multi-model study,Atmospheric Chemistry and Physics,2016,10.5194/acp-17-5721-2017,57,Min Huang; Min Huang; G. Carmichael; R. Pierce; D. Jo; R. Park; J. Flemming; L. Emmons; K. Bowman; D. Henze; Yanko Davila; K. Sudo; J. Jonson; M. Lund; G. Janssens‑Maenhout; F. Dentener; T. Keating; H. Oetjen; H. Oetjen; V. Payne
recommend,0.288,"Satellite-derived emissions of carbon monoxide, ammonia, and nitrogen dioxide from the 2016 Horse River wildfire in the Fort McMurray area",Atmospheric Chemistry and Physics,2018,10.5194/acp-19-2577-2019,54,C. Adams; C. McLinden; M. Shephard; Nolan Dickson; E. Dammers; Jack Chen; P. Makar; K. Cady-Pereira; Naomi Tam; S. Kharol; L. Lamsal; N. Krotkov
recommend,0.288,"Tropospheric Emission Spectrometer (TES) satellite observations of ammonia, methanol, formic acid, and carbon monoxide over the Canadian oil sands: Validation and model evaluation",,2015,10.5194/amt-8-5189-2015,46,M. Shephard; C. McLinden; K. Cady-Pereira; M. Luo; S. Moussa; A. Leithead; J. Liggio; R. Staebler; A. Akingunola; P. Makar; P. Lehr; J. Zhang; D. Henze; D. Millet; J. Bash; Liye Zhu; K. C. Wells; S. Capps; S. Chaliyakunnel; M. Gordon; K. Hayden; J. Brook; M. Wolde; Shao-Meng Li
recommend,0.288,Characterization of OCO-2 and ACOS-GOSAT biases and errors for CO2 flux estimates,,2019,10.5194/amt-2019-257,24,S. Kulawik; S. Crowell; D. Baker; Junjie Liu; K. McKain; C. Sweeney; S. Biraud; S. Wofsy; C. O’Dell; P. Wennberg; D. Wunch; C. Roehl; N. Deutscher; M. Kiel; D. Griffith; V. Velazco; J. Notholt; T. Warneke; C. Petri; M. De Mazière; M. Sha; R. Sussmann; M. Rettinger; D. Pollard; I. Morino; O. Uchino; F. Hase; D. Feist; S. Roche; K. Strong; R. Kivi; L. Iraci; K. Shiomi; M. Dubey; E. Sepúlveda; O. E. Rodríguez; Y. Té; P. Jeseck; P. Heikkinen; E. Dlugokencky; M. Gunson; A. Eldering; D. Crisp; B. Fisher; G. Osterman
recommend,0.288,Assessing Measurements of Pollution in the Troposphere (MOPITT) carbon monoxide retrievals over urban versus non-urban regions,,2020,10.5194/amt-13-1337-2020,19,Wenfu Tang; H. Worden; M. Deeter; D. Edwards; L. Emmons; S. Martínez-Alonso; B. Gaubert; R. Buchholz; G. Diskin; R. Dickerson; X. Ren; Hao He; Y. Kondo
recommend,0.288,Retrievals of Tropospheric Ozone Profiles from the Synergic Observation of AIRS and OMI: Methodology and Validation,,2018,10.5194/amt-2018-138,0,D. Fu; S. Kulawik; K. Miyazaki; K. Bowman; J. Worden; A. Eldering; N. Livesey; J. Teixeira; F. Irion; R. Herman; G. Osterman; Xiong Liu; P. Levelt; A. Thompson; M. Luo
recommend,0.269,Decadal changes in global surface NO x emissions from multi-constituent satellite data assimilation,,2016,10.5194/acp-17-807-2017,306,K. Miyazaki; H. Eskes; K. Sudo; K. F. Boersma; K. Bowman; Y. Kanaya
recommend,0.269,Unexpected slowdown of US pollutant emission reduction in the past decade,Proceedings of the National Academy of Sciences of the United States of America,2018,10.1073/pnas.1801191115,177,Zhe Jiang; Zhe Jiang; Brian C. McDonald; Brian C. McDonald; H. Worden; J. Worden; K. Miyazaki; Z. Qu; D. Henze; Dylan B. A. Jones; A. Arellano; E. Fischer; Liye Zhu; K. F. Boersma; K. F. Boersma
